epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,2911.38,0.60886,0.47487,1.02865,0.87544,0.76399,0.85905,0.71074,0.68106,0.55812,1.07381,0.000569375,0.000569375,0.000569375
57,2963.04,0.59404,0.46356,1.02282,0.89532,0.78703,0.87219,0.71894,0.68242,0.56196,1.07382,0.000557,0.000557,0.000557
58,3014.9,0.58677,0.46469,1.01846,0.87064,0.79573,0.86342,0.71344,0.67268,0.54972,1.0725,0.000544625,0.000544625,0.000544625
59,3066.59,0.59609,0.46721,1.02303,0.87409,0.78417,0.8664,0.712,0.69968,0.55168,1.08882,0.00053225,0.00053225,0.00053225
60,3118.35,0.59945,0.45872,1.01882,0.87934,0.77247,0.86245,0.71599,0.6742,0.55956,1.06896,0.000519875,0.000519875,0.000519875
61,3169.99,0.59016,0.46165,1.02187,0.88961,0.773,0.85674,0.71233,0.67833,0.56032,1.08172,0.0005075,0.0005075,0.0005075
62,3221.63,0.57898,0.44801,1.01138,0.86193,0.79889,0.86246,0.71464,0.68287,0.56091,1.07713,0.000495125,0.000495125,0.000495125
63,3273.28,0.5774,0.45557,1.01127,0.87992,0.79657,0.869,0.72306,0.67017,0.55053,1.07084,0.00048275,0.00048275,0.00048275
64,3325.01,0.58338,0.44454,1.01114,0.8677,0.78528,0.87594,0.72732,0.66224,0.54295,1.06121,0.000470375,0.000470375,0.000470375
65,3376.89,0.58086,0.43824,1.00805,0.8672,0.78288,0.85974,0.70882,0.6746,0.57461,1.07007,0.000458,0.000458,0.000458
66,3428.58,0.56519,0.43035,1.00588,0.87443,0.78216,0.86585,0.71417,0.68482,0.57151,1.07123,0.000445625,0.000445625,0.000445625
67,3480.19,0.5599,0.42097,1.00189,0.88638,0.80154,0.87576,0.72532,0.66935,0.53597,1.06201,0.00043325,0.00043325,0.00043325
68,3531.82,0.56606,0.43136,1.00284,0.87172,0.8024,0.86934,0.71925,0.66945,0.54806,1.06335,0.000420875,0.000420875,0.000420875
69,3583.49,0.55975,0.42301,0.99544,0.89059,0.78248,0.87049,0.72265,0.66965,0.5513,1.07286,0.0004085,0.0004085,0.0004085
70,3635.19,0.55132,0.40818,0.99429,0.88019,0.79995,0.8741,0.72974,0.65546,0.56187,1.05525,0.000396125,0.000396125,0.000396125
71,3686.96,0.55022,0.40992,0.99396,0.88134,0.79732,0.87352,0.73349,0.66082,0.53628,1.06267,0.00038375,0.00038375,0.00038375
